fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.7,0.88,0.04,2.1,0.061,4,10,0.9959,3.4,0.56,9.8,5
8.8,0.34,0.28,2.8,0.082,12,69,0.9976,3.3,0.48,9.5,5
6.4,0.66,0,3.7,0.086,5,12,0.99738,3.53,0.58,9.8,7
8.1,0.765,0.22,2.2,0.071,21,77,0.9973,3.37,0.54,9.4,5
6.6,0.63,0.01,2.1,0.084,38,46,0.9959,3.46,0.63,10.9,6
10.4,0.41,0.49,2.3,0.414,6,21,0.99702,3.34,0.86,9.9,6
7.9,0.36,0.33,2.4,0.065,23,44,0.995,3.35,0.84,11.7,8
5.9,0.66,0,1.4,0.046,21,59,0.9916,3.68,0.66,12.8,6
7.9,0.39,0.13,2,0.058,15,24,0.99499,3.19,0.49,10.1,6
5,0.5,0,1.8,0.048,15,33,0.99292,3.78,0.79,12.3,8
8.1,0.58,0.22,2.9,0.071,11,119,0.99659,3.22,0.52,9.3,5
7.7,0.84,0.03,2.6,0.077,31,54,0.9964,3.53,0.47,10.5,5
8,0.46,0.65,2.6,0.106,10,17,0.99728,3.4,0.58,9.4,6
8.8,0.31,0.6,1.7,0.079,23,81,0.99716,3.31,0.75,9.5,7
7.2,0.52,0.03,2.5,0.08,31,134,0.99568,3.36,0.53,9.7,6
7.6,0.58,0.01,2.2,0.074,32,52,0.99538,3.42,0.54,11.8,6
8.6,0.75,0.24,2.6,0.1,10,25,0.9983,3.16,0.6,9.7,6
9.6,0.62,0.49,1.4,0.097,5,62,0.9976,3.2,0.61,9.4,5
8.7,0.6,0.26,3.3,0.083,28,129,0.99622,3.28,0.56,9.8,6
7.8,0.735,0.02,4,0.064,4,12,0.99732,3.47,0.67,9.8,5
5.2,0.695,0,1.8,0.041,6,12,0.99191,3.56,0.62,11.8,5
7.9,0.53,0.26,2.1,0.062,15,74,0.9964,3.21,0.74,9.6,6
7.2,0.78,0.03,2.3,0.059,12,18,0.99774,3.51,0.71,10.5,7
8.2,0.61,0.24,2,0.087,20,110,0.9972,3.26,0.61,9.4,6
7.9,1.33,0,1.65,0.094,7,12,0.99538,3.36,0.48,11.8,7
7.3,0.59,0.18,2,0.074,12,93,0.9961,3.29,0.59,9.7,5
10.1,0.69,0.24,2.2,0.039,6,28,1.0004,3.22,0.49,10.3,7
7.6,0.51,0.14,2.1,0.077,26,58,0.9991,3.44,0.58,10.5,6
8.3,0.64,0.26,1.9,0.089,19,122,0.99668,3.14,0.54,9.5,5
7.3,0.875,0.12,2,0.076,35,67,0.9968,3.26,0.52,9.4,5
9.9,0.67,0.39,2,0.075,32,119,0.9988,3.24,0.55,9.4,5
8.6,0.46,0.24,2.1,0.079,14,28,0.99494,3.14,0.56,10.5,5
7.5,0.58,0.2,1.9,0.073,34,151,0.9958,3.41,0.52,9.3,5
7.7,0.6,0.01,2.1,0.062,12,89,0.99718,3.4,0.44,10.6,5
7,0.655,0.03,2.7,0.086,27,66,0.99627,3.35,0.6,10.8,6
7.8,0.54,0.31,2.5,0.076,22,71,0.9984,3.26,0.74,9.3,5
9.9,0.58,0.2,2.5,0.077,29,54,0.99692,3.26,0.59,10.1,6
6.5,0.32,0.09,2.2,0.073,4,11,0.99444,3.33,0.78,10.6,6
9.6,0.27,0.35,1.7,0.066,10,21,0.99478,3.2,0.66,13.1,6
5,0.5,0,1.7,0.066,19,48,0.99294,3.78,0.66,12.1,6
8,0.48,0.28,1.7,0.077,19,64,0.9947,3.26,0.58,9.7,5
8.8,0.3,0.55,2.7,0.05,12,23,0.9952,3.32,0.64,12.5,6
8.1,0.885,0.03,3,0.081,7,17,0.99672,3.43,0.53,11,5
7.2,0.59,0.18,2.8,0.082,22,74,0.9976,3.54,0.66,9.4,6
7.7,0.88,0.21,2.5,0.078,22,84,0.9961,3.18,0.52,9.7,5
7.8,0.52,0.49,2.3,0.11,21,75,0.99656,3.26,0.68,9.7,7
7.3,0.58,0.01,2.2,0.077,35,70,0.99609,3.32,0.55,9.4,5
8.3,0.59,0.23,2.9,0.087,26,61,0.9986,3.32,0.71,9.3,5
7.1,0.62,0.2,1.9,0.082,41,55,0.99613,3.29,0.58,9.3,5
8,0.69,0.32,2.8,0.088,16,86,0.99732,3.3,0.62,11,5
6.7,0.64,0.21,3,0.079,5,14,0.99608,3.56,0.48,11.3,6
8.4,0.63,0.15,2.9,0.101,20,94,0.998,3.19,0.55,9.5,5
8.7,0.21,0.36,1.5,0.074,11,18,0.99546,3.3,0.57,10.1,7
6.3,0.61,0.13,2.2,0.08,27,60,0.99636,3.51,0.69,12.5,6
7.4,0.52,0.05,1.6,0.061,9,23,0.9955,3.37,0.65,10.1,6
7.5,0.645,0.2,2.1,0.084,20,84,0.99688,3.36,1.1,10.2,6
7.8,0.48,0.31,3.2,0.069,6,12,0.99379,3.22,0.44,11,7
8.7,0.6,0.09,1.9,0.106,20,49,0.99616,3.6,0.52,10,5
9.4,0.53,0.24,1.9,0.119,20,119,0.9976,3.18,0.57,9.4,5
9.4,0.46,0.43,5.5,0.107,10,44,0.9978,3.28,0.8,11,6
9.1,0.35,0.52,2.2,0.07,23,44,0.99538,3.34,0.85,12.6,7
11.8,0.315,0.52,2.8,0.083,8,38,0.9982,3.2,0.77,10.3,6
11.5,0.46,0.53,2,0.093,6,14,0.99642,3.23,0.71,11.1,6
10.7,0.37,0.41,3.3,0.098,6,13,0.9998,3.17,0.77,12.4,7
9.3,0.65,0.21,3.4,0.087,6,24,0.9976,3.09,0.66,9.7,6
7.7,0.59,0.28,2.7,0.082,26,106,0.9963,3.22,0.48,9.5,6
11.5,0.36,0.53,2.7,0.095,18,34,0.99546,3.16,0.82,13.4,7
8.8,0.825,0.04,2.5,0.078,10,91,0.998,3.33,0.48,9.9,5
9.1,0.655,0.49,2.7,0.086,11,41,1,3.17,0.52,9.8,5
8.8,0.48,0.31,6,0.07,30,119,0.99688,3.31,0.65,9,4
10.7,0.37,0.48,2,0.066,16,35,0.99562,3.17,0.63,11,5
8.9,0.54,0.45,6.3,0.078,3,10,0.9976,3.21,0.6,9.8,5
6.6,0.855,0.02,2.2,0.078,12,49,0.99631,3.52,0.63,10.6,6
6.9,0.53,0.04,1.9,0.123,6,14,0.99426,3.37,0.64,10.5,6
7.5,0.28,0.34,2.1,0.082,28,133,0.9956,3.36,0.55,10.3,6
7,0.47,0.08,2.1,0.064,25,55,0.9962,3.34,0.48,10.4,5
6.7,0.58,0.1,2.3,0.11,24,58,0.99064,3.51,0.71,11.4,6
9.9,0.39,0.12,2.8,0.095,17,40,0.9994,3.38,0.75,10,6
7.9,0.54,0.13,5.15,0.084,27,61,0.99588,3.21,0.59,9.3,4
7.6,0.45,0.31,2.7,0.078,23,54,0.9982,3.41,0.62,9,4
7.1,0.47,0.28,2.1,0.082,23,145,0.9964,3.45,0.48,9.5,5
9.9,0.5,0.49,1.6,0.094,16,42,0.9971,3.24,0.57,9.5,5
11.4,0.39,0.24,4.3,0.075,6,42,0.9978,3.16,0.51,11.4,7
8.4,0.31,0.39,1.6,0.082,51,70,0.99647,3.31,0.77,10.5,6
7.9,0.54,0.26,2,0.077,23,143,0.9974,3.26,0.62,9.4,5
8.8,0.5,0.57,2.7,0.205,12,81,0.9965,3.29,0.93,11.7,7
10.2,0.28,0.36,2.6,0.104,6,13,0.99708,3.27,0.64,10.03333333,6
8.7,0.5,0.49,2.6,0.111,11,24,0.9955,3.14,0.55,11.8,6
7.3,0.69,0.12,1.8,0.057,19,25,0.99575,3.33,0.65,10,5
9.8,0.53,0.45,2.3,0.118,22,84,0.9978,3.15,0.86,9.4,7
7.3,0.37,0.32,2.8,0.076,29,70,0.99689,3.37,0.56,10.1,5
9.1,0.54,0.27,2.5,0.097,31,141,0.99914,3.28,0.62,10.5,5
7.6,0.68,0.21,2.1,0.069,9,68,0.99478,3.2,0.52,9.7,6
6.8,0.63,0.1,1.8,0.121,17,38,0.99619,3.53,0.52,10.3,3
8.2,0.28,0.34,1.8,0.053,6,15,0.9936,3.22,0.48,11.5,5
9.2,0.39,0.24,2,0.084,19,122,0.9988,3.31,0.54,9.6,5
11.2,0.43,0.53,2.2,0.071,7,14,0.99975,3.15,0.82,10.4,6
6.1,0.4,0,1.9,0.062,9,17,0.99672,3.56,0.56,10.5,5
8.7,0.63,0.14,2.4,0.087,27,62,0.99672,3.14,0.66,10.9,6
7.6,0.735,0.21,1.9,0.097,30,129,0.9962,3.1,0.49,9.6,6
8.1,0.885,0,1.5,0.05,5,13,0.99605,3.39,0.68,11.9,6
7.7,0.78,0.08,1.8,0.068,16,37,0.9969,3.42,0.68,9.6,5
7,0.41,0.51,1.7,0.077,25,42,0.99578,3.35,0.76,10,7
7.5,0.38,0.21,1.7,0.086,29,45,0.99587,3.28,0.55,9.2,6
9.3,0.47,0.53,2.2,0.063,25,47,0.99523,3.33,0.83,12.7,7
8.3,0.43,0.31,2.6,0.086,24,66,0.9963,3.47,0.62,9.7,5
10,0.31,0.63,2.5,0.08,5,12,0.99842,3.31,0.66,9.7,6
7.6,0.47,0.32,2.2,0.073,19,98,0.9984,3.08,0.65,9.8,6
6.8,0.6,0.08,2.1,0.08,12,18,0.99358,3.44,0.52,12.8,7
8.4,0.74,0.07,1.6,0.058,14,47,0.99488,3.17,0.45,11,5
9.9,0.57,0.24,2.8,0.094,14,56,0.998,3.28,0.7,9,6
12.8,0.41,0.48,2.2,0.132,10,41,0.9997,3.17,0.64,12.6,8
9.8,0.48,0.54,1.8,0.11,23,43,0.9984,3.02,0.62,10.8,6
7.6,0.62,0.23,2,0.082,19,102,0.9964,3.22,0.55,9.2,5
5.6,0.48,0.28,2.1,0.099,28,51,0.99256,3.38,0.77,11.9,6
8.9,0.28,0.34,6.55,0.056,12,19,0.99536,3.21,0.78,12.3,7
8,0.69,0.19,2.5,0.114,34,106,0.9959,3.39,0.57,9.8,5
11.9,0.69,0.76,3.3,0.077,6,47,1.0004,3.16,0.61,9,5
8,0.875,0.11,2.6,0.082,18,44,0.9956,3.2,0.48,10.8,5
10.6,0.24,0.43,1.8,0.066,8,26,0.9976,3.07,0.6,10,6
6.4,0.7,0,2.6,0.123,11,24,0.99642,3.53,0.53,11.6,5
8,0.58,0.22,2.1,0.093,38,76,0.99584,3.3,0.55,10.9,6
7.1,0.84,0.21,1.8,0.059,25,48,0.99714,3.53,0.55,9.9,7
7.6,0.58,0.14,2.1,0.092,25,99,0.99622,3.31,0.53,9.8,5
7.9,0.52,0.49,1.9,0.084,17,106,0.9959,3.2,0.59,9.8,5
7.1,0.61,0.18,2.7,0.104,11,81,0.99736,3.52,0.72,9.7,5
7.4,0.42,0.49,1.9,0.077,34,124,0.9964,3.32,0.71,11.9,8
9.2,0.635,0.49,2.3,0.084,13,49,1.001,3.31,0.73,9.8,5
11.9,0.41,0.56,1.5,0.111,23,49,0.9981,3.11,0.75,9.5,6
10.9,0.4,0.5,2.3,0.08,7,25,0.9991,3.02,1.11,9.6,5
10.4,0.615,0.63,6.8,0.075,17,86,1.00242,3.09,0.66,9.5,5
8.4,0.57,0.04,3,0.097,6,12,0.9974,3.13,0.56,10,6
7.4,0.66,0.32,3.1,0.082,11,65,0.99744,3.16,0.64,12.8,7
6,0.69,0,1.9,0.057,15,32,0.99516,3.53,0.6,11.3,6
8,0.69,0.27,4,0.063,7,31,0.9976,3.37,0.54,9.5,5
11.9,0.58,0.49,2.6,0.222,6,15,0.9991,3.16,0.61,10.5,6
7.1,0.85,0,1.3,0.08,5,14,0.99692,3.45,0.48,9.5,5
8.3,0.38,0.21,2.5,0.097,23,94,0.99694,3.2,0.48,9.3,6
7.3,0.31,0.3,1.8,0.082,27,85,0.99688,3.35,0.54,9.5,6
10,0.31,0.56,2.4,0.079,9,31,0.9994,3.17,0.56,10.9,7
6.7,0.655,0.15,2,0.041,13,29,0.99936,3.42,0.69,12.2,6
9.7,0.49,0.21,2.1,0.078,27,61,0.99786,3.3,0.57,9.4,5
7.8,0.64,0.17,2.8,0.062,21,75,0.99824,3.28,0.61,10.2,5
7.8,0.55,0.31,2.6,0.084,35,103,0.9971,3.07,0.62,9.2,5
7,0.5,0,1.4,0.08,16,33,0.99682,3.31,0.47,10.9,5
6.9,0.45,0.19,2,0.111,18,48,0.99576,3.5,0.76,11,7
7.2,0.77,0.03,2.5,0.089,36,45,0.99628,3.52,0.6,10.5,6
7,0.685,0,2.4,0.078,25,52,0.99728,3.5,0.72,9.8,6
10.9,0.24,0.34,3,0.086,8,23,0.9991,3.2,0.62,9.3,5
7.9,0.53,0.04,2.4,0.078,20,49,0.9964,3.4,0.68,9.7,6
6.9,0.65,0.02,1.8,0.09,38,38,0.99498,3.32,0.55,10.1,7
7.8,0.6,0.01,2.7,0.072,36,48,0.99538,3.32,0.56,10.8,7
15,0.635,0.49,3.2,0.083,21,84,1.0021,2.98,0.68,12,5
12.6,0.41,0.53,2.95,0.085,7,31,0.9976,3.05,0.82,10.3,6
11.5,0.41,0.65,2.3,0.07,5,19,0.99572,3.24,0.66,11.2,6
9.9,0.41,0.28,2.8,0.107,23,143,0.99828,3.28,0.55,9.5,5
11.5,0.26,0.53,3.2,0.093,6,23,0.9986,3.15,0.79,11,6
8.1,0.51,0,2.3,0.07,12,19,0.99444,3.31,0.76,12.4,6
10.6,0.63,0.41,2.8,0.107,20,67,0.99786,3.16,0.66,10.8,5
8.4,0.56,0.22,2.5,0.082,23,143,0.9988,3.18,0.52,9.6,5
12.3,0.41,0.64,2.6,0.091,6,20,0.9994,3.2,0.66,10.8,6
7.1,0.62,0.01,2.5,0.078,24,94,0.99743,3.52,0.63,9.3,6
8.2,0.52,0.34,2.6,0.092,16,112,0.9974,3.08,0.64,9.4,5
9.4,0.88,0,3,0.076,6,28,0.9988,3.3,0.48,9.6,5
7.2,0.41,0.3,2,0.072,34,66,0.997,3.41,0.64,9.9,5
10,0.37,0.31,2.8,0.118,14,44,0.9976,2.98,0.56,9.4,5
7.5,0.58,0.01,1.8,0.077,27,90,0.99609,3.32,0.52,9.4,4
9.9,0.84,0.06,2.6,0.077,9,28,0.9982,3.31,0.48,9.6,5
8.7,0.41,0.24,2.1,0.061,7,12,0.99444,3.38,0.69,12.5,7
6.8,0.64,0,1.5,0.062,27,53,0.9959,3.38,0.59,10.9,6
6.8,0.705,0,2.4,0.081,17,43,0.9968,3.7,0.83,10.1,6
6.7,0.68,0,1.6,0.052,7,11,0.99538,3.45,0.46,9.8,5
8.9,0.49,0.39,1.8,0.078,34,61,0.99652,3.32,0.78,10.8,7
7.8,0.56,0.19,1.7,0.111,6,15,0.99668,3.19,0.53,10.1,6
5.6,0.66,0.01,1.9,0.117,12,20,0.99784,3.72,0.74,9.6,5
7.7,0.6,0.26,2,0.08,31,73,0.9987,3.37,0.52,9.3,5
7.9,0.31,0.51,1.7,0.079,31,35,0.99519,3.32,0.91,11.6,6
8.4,0.46,0.44,2.1,0.118,3,13,0.9979,3.22,0.72,9.2,5
8.7,0.5,0.3,2.6,0.08,13,49,0.9965,3.3,1.18,10.2,6
7.8,0.865,0.1,4.5,0.087,13,57,0.99631,3.34,0.59,9.5,5
7.9,0.685,0.01,1.8,0.104,20,57,0.9963,3.28,0.55,9.7,5
10.6,0.5,0.34,4,0.073,6,22,0.9988,3.33,0.83,9.9,6
7.2,0.62,0.01,1.4,0.072,15,39,0.99566,3.32,0.63,10.8,6
7.6,0.66,0,3,0.065,14,24,0.99242,3.47,0.71,11.5,7
8.5,0.53,0.09,4.3,0.094,10,24,0.9976,3.33,0.82,12,7
8.3,0.6,0.1,2.3,0.089,17,38,0.99803,3.26,0.54,9,5
6.7,0.55,0.15,2.3,0.077,33,98,0.99488,3.28,0.56,10.8,5
12.5,0.4,0.63,2.3,0.071,6,24,0.9986,3.1,0.83,10.8,6
6,0.35,0.19,1.8,0.069,16,38,0.99458,3.58,0.68,11.4,7
7.2,0.34,0.44,2.4,0.063,17,86,0.99459,3.42,0.58,11.5,6
7.2,0.62,0.06,2.5,0.078,24,94,0.99746,3.52,0.71,10.5,6
8.3,0.56,0.22,2.2,0.073,9,36,0.99476,3.1,0.56,11,6
9,0.61,0.24,2.5,0.084,41,110,0.9976,3.07,0.56,9.4,5
13,0.27,0.41,2.2,0.083,6,16,1.0002,3.08,0.69,10.8,6
9.8,0.66,0.36,1.7,0.084,24,44,0.99652,3.22,0.72,11.1,6
9,0.54,0.59,1.9,0.074,9,20,0.9978,3.3,0.61,9.4,5
12.3,0.39,0.49,2.8,0.091,7,20,1.0014,3.12,0.49,9.4,5
8.4,0.735,0.22,3,0.106,16,119,0.9964,3.26,0.55,9.2,5
8.9,0.28,0.35,1.9,0.048,32,44,0.99182,3.25,0.62,12.5,6
9.3,0.61,0,2.1,0.079,23,119,0.99774,3.23,0.5,9.4,5
8.7,0.28,0.36,2.8,0.067,26,52,0.99516,3.15,0.62,11.8,6
6.5,0.69,0,1.9,0.068,15,29,0.99498,3.45,0.66,9.5,6
5.9,0.655,0.04,2,0.071,27,65,0.9958,3.72,0.52,12.9,6
9.3,0.39,0.4,2.2,0.081,41,55,0.99498,3.19,0.75,11.8,6
7.4,0.43,0.32,5.1,0.063,3,15,0.9963,3.34,0.67,10,6
7.6,0.18,0.34,2.1,0.062,31,92,0.9955,3.26,0.62,10.1,4
11.1,0.39,0.51,5.2,0.093,6,12,0.99652,3.3,0.75,11.4,7
8.3,0.46,0.31,2.6,0.08,21,84,0.9981,3.48,0.63,9.5,6
8.3,0.5,0.49,2,0.132,13,65,0.99688,3.29,0.73,10.5,5
6.9,0.57,0.02,2.1,0.123,10,31,0.99599,3.53,0.6,10.9,6
8.6,0.655,0.04,3,0.087,14,36,0.9976,3.34,0.55,9.4,5
6.4,0.655,0.07,1.7,0.054,12,18,0.99467,3.16,0.67,12.8,6
7.9,0.58,0.2,1.4,0.054,6,25,0.99609,3.2,0.57,11,7
9.6,0.54,0.31,2.3,0.097,16,72,0.99745,3.31,0.79,9.6,7
7.5,0.58,0.13,1.9,0.041,16,59,0.9957,3.27,0.58,9.7,5
7.7,0.26,0.4,2,0.082,19,66,0.99476,3.1,0.62,9.8,6
7.7,0.54,0.26,1.9,0.097,21,127,0.9976,3.26,0.64,9.4,5
10.4,0.29,0.49,2,0.104,10,21,0.9976,3.16,1.95,11,7
7.3,0.6,0.25,1.9,0.118,20,84,0.99616,3.28,0.52,9.9,5
7.1,0.78,0.07,2.1,0.074,27,60,0.9956,3.4,0.55,10.2,5
9.1,0.33,0.45,2,0.066,15,24,0.99586,3.17,0.84,10.5,7
7.8,0.88,0.03,2.1,0.072,5,16,0.9967,3.52,0.58,10.7,6
10.8,0.28,0.48,2.1,0.093,6,19,0.99408,3.32,0.58,12.8,7
8.1,0.51,0.14,1.8,0.115,10,21,0.99572,3.37,0.73,9.3,7
7.5,0.52,0.12,2.3,0.132,29,44,0.99536,3.36,0.52,11.2,6
11.1,0.38,0.52,2.4,0.07,7,38,0.99672,3.25,0.85,11,8
8.2,0.48,0.32,3.4,0.079,23,113,0.99712,3.28,0.66,11,8
10,0.36,0.53,2.5,0.077,21,51,0.9934,3.17,0.85,12,7
7.7,0.7,0,1.9,0.102,8,16,0.9968,3.44,0.67,9.4,6
7.8,0.61,0.21,2.6,0.079,31,64,0.99712,3.13,0.56,9.8,5
9.6,0.27,0.53,2.3,0.091,23,58,0.998,3.16,0.78,10.1,7
6.8,0.735,0,2.1,0.084,31,53,0.9966,3.52,0.54,9.4,5
9.1,0.45,0.43,2.3,0.082,24,64,0.9987,3.15,0.68,9.3,6
11.9,0.685,0.49,2.6,0.085,5,19,0.9982,3.02,0.49,10.1,6
10.4,0.48,0.68,3.1,0.107,8,22,0.9971,3.09,1.03,12.3,6
8.9,0.24,0.37,1.5,0.071,11,24,0.9948,3.39,0.6,12.3,7
7.9,0.31,0.33,1.9,0.058,17,91,0.99472,3.31,0.4,9.5,6
8.9,0.45,0.45,3,0.095,6,16,0.9988,3.36,0.65,11.7,6
8.8,0.63,0.17,2.6,0.084,26,61,0.997,3.31,0.54,9.8,5
6.6,0.63,0.31,2.4,0.075,25,44,0.99636,3.55,0.74,9.8,4
6.6,0.62,0.03,4,0.076,4,11,0.99494,3.36,0.56,11.4,8
6.4,0.56,0.28,2.1,0.077,7,16,0.99459,3.42,0.71,11.7,6
8.8,0.76,0.31,2.9,0.088,17,119,0.9982,3.31,0.62,9.5,6
12.5,0.45,0.49,2.6,0.095,14,28,0.9994,3.1,0.63,10.8,5
11.9,0.31,0.49,3.2,0.072,5,19,0.9986,3.08,0.62,10.6,6
7,0.915,0.2,2.8,0.083,11,50,0.996,3.53,0.57,9.8,6
6.9,0.56,0.01,2.7,0.078,26,31,0.99855,3.57,0.54,10.7,6
8.7,0.59,0.49,2.7,0.088,12,88,1.001,3.21,0.61,9.2,5
7.6,0.34,0.34,2.5,0.082,15,26,0.99356,3.22,0.62,12.8,7
8.9,0.725,0.24,2.3,0.101,11,104,0.9998,3.2,0.53,9.4,5
8.3,0.38,0.3,1.2,0.104,38,76,0.99735,3,0.73,9.2,6
8.9,0.48,0.32,1.9,0.132,28,128,0.99676,3.3,0.48,9.5,5
6.6,0.36,0.02,1.4,0.064,11,18,0.9952,3.55,0.58,10.8,5
6.5,0.61,0.15,1.9,0.065,17,89,0.9952,3.36,0.53,11,5
10.7,0.41,0.53,2.4,0.095,26,45,0.99622,3.26,0.58,11.6,6
11.6,0.3,0.53,2.3,0.086,9,23,0.9986,3.23,0.92,9.8,6
7,0.64,0.26,2.1,0.075,16,69,0.99633,3.1,0.58,9.8,5
7.5,0.49,0.19,2.9,0.08,21,110,0.99692,3.29,0.58,10.5,5
7.8,0.51,0.18,2.7,0.103,7,28,0.99633,3.25,0.53,9.3,5
7.3,0.58,0.11,2.1,0.068,27,43,0.99562,3.44,0.5,10,5
7.4,0.36,0.26,2.1,0.074,25,36,0.99419,3.36,0.46,11.5,6
7.1,0.78,0,2.3,0.066,18,28,0.99704,3.44,0.58,9.9,5
9.4,0.39,0.49,2,0.082,28,109,0.9988,3.12,0.75,9.9,6
6.4,0.4,0.2,7.5,0.052,16,46,0.99585,3.42,0.81,9.9,6
12.5,0.47,0.63,2.1,0.093,9,25,0.99818,3.07,0.63,10.9,6
7.9,0.47,0.4,1.8,0.076,25,60,0.9971,3.12,0.65,9.9,6
7.8,0.58,0.28,2.5,0.086,25,99,0.9968,3.28,0.8,10.5,7
8.6,0.37,0.25,2.8,0.169,6,17,0.99718,3.14,0.65,9.7,6
7.9,0.63,0.05,1.7,0.054,5,16,0.9946,3.3,0.47,9.3,5
9.3,0.35,0.31,2.5,0.079,31,67,0.99708,3.28,0.55,11.2,4
13.3,0.59,0.66,6.2,0.214,23,43,1.00369,3.05,0.74,9.4,5
7.2,0.38,0.32,2.8,0.063,21,51,0.99508,3.34,0.74,10.5,7
12,0.38,0.49,2.5,0.074,12,47,1.0004,3.2,0.61,12.1,6
8.4,0.23,0.24,2.2,0.078,6,23,0.9967,3.33,0.87,9.5,6
13.9,0.49,0.63,3.8,0.077,5,35,1.0014,3.05,0.68,11.3,6
6.7,0.53,0.06,2.1,0.081,27,43,0.9958,3.4,0.86,10.4,7
11.7,0.44,0.49,3.2,0.078,12,60,0.9986,3.18,0.6,9.5,6
7.2,0.6,0.07,3.7,0.077,5,10,0.99702,3.28,0.58,11,5
7.5,0.36,0.25,1.5,0.079,16,36,0.99564,3.3,0.44,10.1,6
10.8,0.51,0.49,4.5,0.114,9,23,1.0002,3.26,1.09,9.6,5
10.3,0.32,0.49,2.9,0.062,6,15,0.9994,3.33,0.46,11.5,5
13,0.35,0.49,5.8,0.085,7,35,1.0021,3.3,0.63,12.7,7
9.1,0.35,0.37,2.1,0.073,25,58,0.9986,3.24,0.53,10.2,6
8,0.74,0.22,2,0.068,4,11,0.99007,3.3,0.52,12,5
7.3,0.39,0.3,1.9,0.08,36,51,0.9976,3.39,0.48,9.5,6
8.4,0.24,0.24,2.1,0.078,17,43,0.99823,3.37,0.87,10.3,6
11.9,0.53,0.66,2.8,0.123,5,19,0.9994,3.15,0.63,11.3,6
8.9,0.37,0.45,2.2,0.09,25,52,0.99702,3.38,0.79,11.4,6
11.3,0.32,0.52,2.5,0.07,19,50,0.9983,3.32,0.77,10.5,6
8.9,0.4,0.29,1.5,0.109,9,28,0.9965,3.19,1.17,9.6,5
7.9,0.725,0.05,1.8,0.071,35,103,0.9969,3.28,0.55,9.5,5
8.7,0.745,0.22,2,0.084,17,104,0.9983,3.26,0.55,9.3,5
7.4,0.49,0.26,1.7,0.071,34,88,0.9972,3.35,0.6,9.5,5
7.6,0.49,0.26,2.5,0.094,16,86,0.9976,3.32,0.64,9.2,5
7,0.59,0,1.9,0.096,41,55,0.99627,3.41,0.56,10.8,5
9.9,0.38,0.49,2.6,0.226,7,65,0.9981,3.21,0.75,9.5,7
8.8,0.68,0,2.5,0.091,22,46,0.9997,3.39,0.6,9.3,5
8.3,0.3,0.33,2.4,0.085,26,53,0.99484,3.27,0.62,12.3,6
6.5,0.56,0,2.4,0.074,19,27,0.9956,3.42,0.65,11,6
10.8,0.5,0.46,2,0.115,6,15,0.9982,3.25,0.76,9.8,6
6.1,0.69,0,2.1,0.068,18,44,0.99498,3.65,0.62,11.4,6
9.9,0.5,0.46,2.3,0.109,5,13,0.9976,3.07,1.06,9.4,4
10.2,0.32,0.45,2.1,0.104,12,39,0.9987,3.15,0.58,11.1,7
7.6,0.41,0.5,2.2,0.079,12,44,0.9959,3.12,0.7,9.3,6
8.8,0.43,0.29,2.6,0.084,37.5,289,0.9981,3.07,0.53,9.5,6
9.9,0.55,0.3,2,0.082,20,110,0.9985,3.5,0.56,9.8,5
7.6,0.57,0.06,3,0.076,51,70,0.9972,3.37,0.93,9.5,7
11.3,0.28,0.53,2.9,0.082,5,28,0.9982,3.33,0.63,10.7,6
6.4,0.62,0.08,2.1,0.07,14,29,0.9968,3.52,0.55,9.4,5
7.6,0.5,0.3,2.6,0.082,27,59,0.9964,3.37,0.59,11.4,6
7.9,0.54,0.24,1.9,0.067,15,27,0.9947,3.28,0.6,9.8,6
8.2,0.34,0.36,3.3,0.093,27,61,0.99736,3.27,0.84,12,7
5.9,0.43,0.23,2.3,0.08,3,15,0.9916,3.49,0.58,11.6,6
7.4,0.4,0.34,2.5,0.05,18,34,0.99352,3.44,0.92,12.4,6
8.8,0.41,0.39,2.2,0.107,8,19,0.9963,3.29,0.75,11.6,7
6.8,0.6,0.08,1.4,0.08,17,91,0.99588,3.53,0.58,10.8,6
8.4,0.67,0.12,4.1,0.105,21,77,0.99586,3.27,0.68,10,5
9.3,0.705,0.24,3,0.084,4,65,0.9978,3.38,0.54,10.5,5
7.8,0.64,0.03,1.7,0.063,32,44,0.99467,3.34,0.63,11.5,6
11.5,0.69,0.63,3,0.073,5,10,0.9988,3.19,0.49,9.4,5
6.7,0.54,0.13,2.5,0.077,17,44,0.99552,3.66,0.69,11.6,7
6.6,0.59,0.08,2.6,0.093,7,31,0.9998,3.4,0.55,9.5,5
7.5,0.655,0,1.8,0.117,5,10,0.99655,3.36,0.58,9.7,5
7,0.5,0.42,2.1,0.1,6,21,0.99516,3.36,0.71,11.3,6
7.1,0.39,0.31,1.8,0.081,21,51,0.99572,3.41,0.72,10.5,5
11.5,0.715,0.49,2.3,0.099,21,59,0.9988,3.26,0.8,9.9,5
7.5,0.34,0.27,1.8,0.097,21,59,0.99456,3.39,0.52,11.8,5
8.1,0.28,0.48,2.1,0.054,4,13,0.9965,3.3,0.8,12.2,6
7.6,0.64,0,2.5,0.097,27,53,0.99734,3.3,0.57,9.7,6
9.5,0.53,0.24,2.7,0.074,22,41,0.9994,3.12,0.57,9.6,5
